City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Dukat,RU,62.55,155.55,70.05,41,19,1.88,few clouds
289,Caravelas,BR,-17.7125,-39.2481,69.93,85,6,5.79,clear sky
290,Sitka,US,57.0531,-135.33,57.09,88,100,6.91,light rain
291,Bilma,NE,18.6853,12.9164,86.32,34,0,7.07,clear sky
292,Vila Velha,BR,-20.3297,-40.2925,64.94,96,40,2.3,scattered clouds
293,Lasa,IT,46.6166,10.7002,57.36,91,51,6.64,broken clouds
294,Sioux Lookout,CA,50.1001,-91.917,71.67,56,100,4.61,overcast clouds
295,Fukue,JP,32.6881,128.8419,84.56,70,75,6.91,broken clouds
296,Durban,ZA,-29.8579,31.0292,60.03,78,0,1.01,clear sky
297,Talnakh,RU,69.4865,88.3972,47.21,62,33,17.27,scattered clouds
298,Havoysund,NO,70.9963,24.6622,52.03,79,36,6.02,scattered clouds
299,Padang,ID,-0.9492,100.3543,78.85,70,69,2.73,broken clouds
300,Lucea,JM,18.451,-78.1736,84.06,74,100,6.62,overcast clouds
301,Ust-Maya,RU,60.4167,134.5333,88.02,42,87,10.67,overcast clouds
302,Mao,ES,39.8885,4.2658,70.36,78,0,2.3,clear sky
303,Redlands,US,34.0556,-117.1825,89.94,30,4,4.74,clear sky
304,Burns Lake,CA,54.2331,-125.7533,62.02,59,47,10.8,scattered clouds
305,Awbari,LY,26.5921,12.7805,83.46,38,14,15.9,few clouds
306,Karacabey,TR,40.2152,28.4038,66.58,87,99,3.74,overcast clouds
307,Saint Anthony,US,45.0205,-93.218,78.73,64,0,10.36,clear sky
308,Phon Thong,TH,16.3016,103.9768,85.95,75,99,7.07,overcast clouds
309,Mackenzie,CA,55.2999,-123.1698,61.02,63,40,5.75,scattered clouds
310,Guilin,CN,25.2819,110.2864,87.91,67,2,5.99,clear sky
311,Bonfim,BR,3.0833,-59.95,75.63,88,81,4.92,broken clouds
312,Tygda,RU,53.1167,126.3333,67.75,75,45,10.65,light rain
313,Kurayoshi,JP,35.4333,133.8167,80.51,79,84,6.6,broken clouds
314,Pacific Grove,US,36.6177,-121.9166,70.56,81,0,9.22,clear sky
315,Gao,ML,16.6362,1.637,86.81,40,53,15.23,broken clouds
316,Ndele,CF,8.4109,20.6473,69.69,99,100,4.25,overcast clouds
317,Kouango,CF,4.9934,19.9619,68.72,95,99,3.11,overcast clouds
318,Kikwit,CD,-5.041,18.8162,68.67,37,26,2.53,scattered clouds
319,Malmesbury,ZA,-33.4608,18.7271,53.78,94,100,4.36,light rain
320,Zhigansk,RU,66.7697,123.3711,61.95,52,96,3.96,overcast clouds
321,Terrasini,IT,38.146,13.0844,76.6,69,0,10.36,clear sky
322,Camacha,PT,33.0833,-16.3333,63.82,88,75,16.11,broken clouds
323,Magaria,NE,12.9983,8.9099,79.93,66,94,15.14,overcast clouds
324,Port Macquarie,AU,-31.4333,152.9167,61.36,61,3,11.77,clear sky
325,Saravan,AM,39.7196,45.6483,62.62,55,1,5.91,clear sky
326,Chlorakas,CY,34.8042,32.4083,70.68,78,0,6.91,clear sky
327,Victoria Point,AU,-27.5833,153.3,68.25,58,4,5.99,clear sky
328,Ulladulla,AU,-35.35,150.4667,56.3,74,63,13.94,broken clouds
329,Tarko-Sale,RU,64.9225,77.785,63.16,56,9,6.04,clear sky
330,Troitskoye,RU,52.9821,84.6757,70.86,69,5,7.92,clear sky
331,Rosarito,MX,32.3333,-117.0333,80.67,69,7,9.95,clear sky
332,Lazaro Cardenas,MX,17.9583,-102.2,80.6,83,69,5.61,broken clouds
333,Ascension,US,30.2169,-90.9001,87.8,74,0,3.44,clear sky
334,Aitape,PG,-3.1374,142.3475,84.06,73,39,8.46,light rain
335,Salinopolis,BR,-0.6136,-47.3561,77.41,84,100,8.46,overcast clouds
336,Shu,KZ,43.5983,73.7614,78.28,28,0,4.05,clear sky
337,Petropavl,KZ,54.8753,69.1628,69.78,68,0,2.24,clear sky
338,Thinadhoo,MV,0.5333,72.9333,82.99,75,82,10.67,broken clouds
339,Ilulissat,GL,69.2167,-51.1,44.62,70,98,3.44,overcast clouds
340,Bontang,ID,0.1333,117.5,83.25,74,60,4.85,broken clouds
341,Paciran,ID,-6.8767,112.3761,81.9,66,9,6.13,clear sky
342,Cairns,AU,-16.9167,145.7667,77.11,63,49,12.66,scattered clouds
343,Vysokogornyy,RU,50.1167,139.15,68.23,78,97,3.31,moderate rain
344,Laguna,US,38.421,-121.4238,91.76,42,0,11.5,clear sky
345,Pundaguitan,PH,6.3711,126.1689,83.89,69,32,6.76,scattered clouds
